candidate_id,rank,score,reasoning
CAND_0081846,1,0.6513,Lead AI Engineer at Razorpay; 6.6 yrs relevant ML/AI experience; strong JD skill alignment (11 core skills matched); moderate semantic relevance to JD; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0018499,2,0.6164,Senior Machine Learning Engineer at Zomato; 5.0 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-1 institution; strong product company background.
CAND_0028793,3,0.5849,Search Engineer at Google; 7.1 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); high semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; tier-1 institution; strong product company background.
CAND_0046525,4,0.5836,Senior Machine Learning Engineer at Genpact AI; 6.1 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0041669,5,0.5796,Recommendation Systems Engineer at CRED; 7.9 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0078002,6,0.5782,Machine Learning Engineer at Meta; 6.2 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0011687,7,0.5762,Senior NLP Engineer at Niramai; 7.7 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0036184,8,0.5751,"Recommendation Systems Engineer at CRED; 5.9 yrs total, 4.3 yrs relevant; strong JD skill alignment (7 core skills matched); high semantic relevance to JD; available quickly; highly responsive to recruiters; tier-2 institution."
CAND_0064326,9,0.5749,Search Engineer at Sarvam AI; 6.6 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0078492,10,0.5709,Recommendation Systems Engineer at Verloop.io; 5.1 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; available quickly; tier-1 institution.
CAND_0029367,11,0.5694,Senior Data Scientist at Rephrase.ai; 5.6 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0079387,12,0.5681,AI Engineer at Microsoft; 5.2 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution.
CAND_0005649,13,0.5663,Senior Data Scientist at Sarvam AI; 7.3 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; tier-2 institution; strong product company background.
CAND_0077337,14,0.566,Staff Machine Learning Engineer at Paytm; 6.9 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0018722,15,0.5599,"Recommendation Systems Engineer at Saarthi.ai; 6.5 yrs total, 4.8 yrs relevant; moderate skill match (5 core skills matched); high semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background."
CAND_0050876,16,0.5598,Applied ML Engineer at Freshworks; 5.9 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; tier-1 institution; strong product company background.
CAND_0070398,17,0.5584,Machine Learning Engineer at Genpact AI; 5.2 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; tier-1 institution; strong product company background.
CAND_0039754,18,0.5555,"Senior Applied Scientist at Meta; 8.2 yrs total, 4.8 yrs relevant; strong JD skill alignment (6 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0006418,19,0.5548,Machine Learning Engineer at Verloop.io; 5.6 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0062247,20,0.5542,"AI Engineer at Google; 7.2 yrs total, 3.1 yrs relevant; moderate skill match (5 core skills matched); moderate semantic relevance to JD; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0052682,21,0.5528,NLP Engineer at Aganitha; 6.5 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution.
CAND_0052328,22,0.5512,Recommendation Systems Engineer at Amazon; 6.4 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0075574,23,0.5483,Machine Learning Engineer at Haptik; 5.7 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; tier-1 institution; strong product company background.
CAND_0006567,24,0.5481,Senior AI Engineer at Meta; 7.8 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0088025,25,0.5469,Staff Machine Learning Engineer at Yellow.ai; 8.5 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0050454,26,0.546,AI Engineer at Rephrase.ai; 5.1 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; available quickly; highly responsive to recruiters; tier-1 institution.
CAND_0066999,27,0.5453,Recommendation Systems Engineer at Microsoft; 5.8 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-1 institution.
CAND_0055905,28,0.5435,"Senior Machine Learning Engineer at Flipkart; 8.0 yrs total, 4.9 yrs relevant; moderate skill match (5 core skills matched); high semantic relevance to JD; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0046064,29,0.5425,Senior NLP Engineer at Salesforce; 8.8 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0014440,30,0.5406,Recommendation Systems Engineer at CRED; 6.3 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; tier-1 institution; strong product company background.
CAND_0043860,31,0.5388,Junior ML Engineer at Aganitha; 6.1 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; available quickly; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0098846,32,0.5377,AI Engineer at upGrad; 5.9 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); active open source contributor; tier-1 institution; strong product company background.
CAND_0095619,33,0.5366,"NLP Engineer at Nykaa; 4.2 yrs total, 4.2 yrs relevant; strong JD skill alignment (6 core skills matched); available quickly; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0011162,34,0.5363,Recommendation Systems Engineer at upGrad; 5.7 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0069905,35,0.5362,Applied ML Engineer at Sarvam AI; 6.5 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0053695,36,0.5361,Recommendation Systems Engineer at Meesho; 5.7 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-1 institution; strong product company background.
CAND_0061265,37,0.5355,Recommendation Systems Engineer at Zoho; 6.5 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0017960,38,0.5309,Recommendation Systems Engineer at Nykaa; 7.6 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0061257,39,0.5284,Staff Machine Learning Engineer at LinkedIn; 7.9 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0030031,40,0.5279,AI Engineer at Microsoft; 5.6 yrs relevant ML/AI experience; strong JD skill alignment (8 core skills matched); available quickly; not currently open to work; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0081053,41,0.5261,NLP Engineer at Glance; 5.3 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-1 institution.
CAND_0096142,42,0.5256,Applied ML Engineer at upGrad; 5.0 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0094056,43,0.523,NLP Engineer at Rephrase.ai; 5.8 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; not currently open to work; highly responsive to recruiters; tier-2 institution.
CAND_0063736,44,0.5218,"Data Scientist at Krutrim; 3.7 yrs total, 3.7 yrs relevant; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0030827,45,0.5212,Senior Data Scientist at Freshworks; 5.3 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; long notice period (120 days) is a concern; tier-2 institution; strong product company background.
CAND_0019480,46,0.5189,NLP Engineer at Meesho; 5.1 yrs relevant ML/AI experience; partial skill overlap (2 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0070525,47,0.5187,Senior Software Engineer (ML) at Mad Street Den; 5.3 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0076163,48,0.5182,"NLP Engineer at Ola; 6.8 yrs total, 3.0 yrs relevant; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution."
CAND_0086022,49,0.5166,"Senior Applied Scientist at Sarvam AI; 5.2 yrs total, 2.1 yrs relevant; strong JD skill alignment (8 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-1 institution."
CAND_0042029,50,0.5159,Senior Data Scientist at Flipkart; 6.5 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; active open source contributor; not currently open to work; tier-2 institution; strong product company background.
CAND_0099806,51,0.5154,"AI Engineer at Mad Street Den; 4.5 yrs total, 4.5 yrs relevant; moderate skill match (4 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0065195,52,0.5153,Search Engineer at CRED; 5.1 yrs relevant ML/AI experience; partial skill overlap (2 core skills matched); active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0009024,53,0.5152,Search Engineer at Google; 5.1 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; available quickly; tier-1 institution; strong product company background.
CAND_0039383,54,0.5147,Applied ML Engineer at Meesho; 5.9 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; tier-1 institution; strong product company background.
CAND_0027691,55,0.5133,NLP Engineer at Haptik; 6.3 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); available quickly; tier-2 institution; strong product company background.
CAND_0072660,56,0.5121,Machine Learning Engineer at Unacademy; 7.0 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); available quickly; tier-1 institution; strong product company background.
CAND_0041568,57,0.5118,Search Engineer at Haptik; 5.1 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; tier-1 institution; strong product company background.
CAND_0020877,58,0.5115,Applied ML Engineer at CRED; 5.0 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; not currently open to work; tier-1 institution; strong product company background.
CAND_0074225,59,0.5107,"Machine Learning Engineer at Unacademy; 4.2 yrs total, 4.2 yrs relevant; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; long notice period (120 days) is a concern; highly responsive to recruiters; tier-2 institution; strong product company background."
CAND_0071974,60,0.5074,"Senior AI Engineer at Netflix; 7.7 yrs total, 3.5 yrs relevant; moderate skill match (5 core skills matched); active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0010257,61,0.5068,Senior Data Scientist at Google; 5.2 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); long notice period (120 days) is a concern; highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0073007,62,0.5062,AI Specialist at Aganitha; 5.8 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0010770,63,0.5044,Recommendation Systems Engineer at Aganitha; 7.2 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0057563,64,0.5022,NLP Engineer at Locobuzz; 6.7 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; not currently open to work; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0052335,65,0.5009,Applied ML Engineer at Aganitha; 6.3 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0093912,66,0.5006,"Senior Data Scientist at Razorpay; 5.2 yrs total, 3.8 yrs relevant; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-2 institution; strong product company background."
CAND_0016659,67,0.5,"ML Engineer at Glance; 4.3 yrs total, 4.3 yrs relevant; moderate skill match (4 core skills matched); highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0093547,68,0.4999,Senior Machine Learning Engineer at PhonePe; 6.2 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); not currently open to work; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0009691,69,0.4993,Applied ML Engineer at LinkedIn; 6.1 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; tier-2 institution; strong product company background.
CAND_0051615,70,0.4983,"Search Engineer at Meta; 4.5 yrs total, 4.5 yrs relevant; moderate skill match (4 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0042506,71,0.4951,"Search Engineer at Verloop.io; 4.2 yrs total, 4.2 yrs relevant; strong JD skill alignment (7 core skills matched); active open source contributor; available quickly; tier-2 institution; strong product company background."
CAND_0013613,72,0.4949,"Machine Learning Engineer at Adobe; 4.6 yrs total, 4.6 yrs relevant; moderate skill match (4 core skills matched); high semantic relevance to JD; active open source contributor; highly responsive to recruiters."
CAND_0057701,73,0.4936,"Recommendation Systems Engineer at Verloop.io; 4.1 yrs total, 4.1 yrs relevant; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; long notice period (120 days) is a concern; tier-1 institution; strong product company background."
CAND_0049540,74,0.4935,ML Engineer at Saarthi.ai; 6.8 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); highly responsive to recruiters; tier-2 institution; strong product company background.
CAND_0051292,75,0.4923,Applied ML Engineer at Freshworks; 5.0 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-2 institution; strong product company background.
CAND_0001610,76,0.4917,"Machine Learning Engineer at Dream11; 5.1 yrs total, 2.5 yrs relevant; strong JD skill alignment (7 core skills matched); high semantic relevance to JD; tier-2 institution; strong product company background."
CAND_0093193,77,0.4913,"Senior Machine Learning Engineer at Niramai; 7.8 yrs total, 3.7 yrs relevant; moderate skill match (5 core skills matched); moderate semantic relevance to JD; tier-2 institution."
CAND_0037980,78,0.4901,Senior Applied Scientist at Niramai; 8.9 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); available quickly; tier-1 institution; strong product company background.
CAND_0076251,79,0.4882,Search Engineer at Haptik; 7.6 yrs relevant ML/AI experience; partial skill overlap (2 core skills matched); moderate semantic relevance to JD; tier-2 institution; strong product company background.
CAND_0044213,80,0.4861,"AI Specialist at Haptik; 3.7 yrs total, 3.7 yrs relevant; strong JD skill alignment (7 core skills matched); active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background."
CAND_0054318,81,0.4861,"AI Research Engineer at BYJU'S; 3.5 yrs total, 3.5 yrs relevant; moderate skill match (5 core skills matched); highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0099401,82,0.4844,NLP Engineer at Dream11; 6.3 yrs relevant ML/AI experience; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; not currently open to work; tier-1 institution; strong product company background.
CAND_0037944,83,0.4843,"Senior Data Scientist at Vedantu; 4.8 yrs total, 3.1 yrs relevant; strong JD skill alignment (7 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; tier-1 institution."
CAND_0066479,84,0.4839,Senior Software Engineer at Flipkart; 6.0 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); available quickly; tier-2 institution; strong product company background.
CAND_0047721,85,0.4837,Senior Data Scientist at Microsoft; 7.0 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; not currently open to work; tier-1 institution.
CAND_0096172,86,0.4806,"NLP Engineer at Krutrim; 5.1 yrs total, 3.3 yrs relevant; moderate skill match (4 core skills matched); high semantic relevance to JD; active open source contributor; not currently open to work; tier-1 institution; strong product company background."
CAND_0003977,87,0.4804,"Recommendation Systems Engineer at Google; 4.6 yrs total, 4.6 yrs relevant; strong JD skill alignment (6 core skills matched); high semantic relevance to JD; not currently open to work; tier-1 institution; strong product company background."
CAND_0061655,88,0.4802,"Machine Learning Engineer at Krutrim; 4.5 yrs total, 4.5 yrs relevant; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; available quickly; not currently open to work; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0033445,89,0.4793,ML Engineer at Vedantu; 6.7 yrs relevant ML/AI experience; strong JD skill alignment (6 core skills matched); available quickly; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0081686,90,0.4793,"Search Engineer at Netflix; 5.9 yrs total, 3.6 yrs relevant; strong JD skill alignment (6 core skills matched); moderate semantic relevance to JD; not currently open to work; highly responsive to recruiters; tier-1 institution; strong product company background."
CAND_0091534,91,0.4791,AI Engineer at Flipkart; 7.1 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; not currently open to work; highly responsive to recruiters; tier-1 institution; strong product company background.
CAND_0007596,92,0.4787,"Junior ML Engineer at Flipkart; 4.3 yrs total, 4.3 yrs relevant; moderate skill match (5 core skills matched); highly responsive to recruiters; tier-2 institution; strong product company background."
CAND_0061339,93,0.4786,"Search Engineer at Rephrase.ai; 4.1 yrs total, 4.1 yrs relevant; moderate skill match (3 core skills matched); moderate semantic relevance to JD; active open source contributor; highly responsive to recruiters; tier-2 institution; strong product company background."
CAND_0037566,94,0.4777,Machine Learning Engineer at LinkedIn; 6.8 yrs relevant ML/AI experience; moderate skill match (3 core skills matched); active open source contributor; available quickly; tier-2 institution; strong product company background.
CAND_0026942,95,0.4775,"Junior ML Engineer at Verloop.io; 6.0 yrs total, 4.5 yrs relevant; moderate skill match (5 core skills matched); moderate semantic relevance to JD; active open source contributor; available quickly; highly responsive to recruiters; tier-2 institution."
CAND_0071115,96,0.477,Recommendation Systems Engineer at Meta; 5.8 yrs relevant ML/AI experience; moderate skill match (5 core skills matched); tier-1 institution; strong product company background.
CAND_0013536,97,0.4762,"Applied ML Engineer at Haptik; 4.7 yrs total, 4.7 yrs relevant; moderate skill match (5 core skills matched); moderate semantic relevance to JD; highly responsive to recruiters; strong product company background."
CAND_0000165,98,0.4755,AI Specialist at Mad Street Den; 6.7 yrs relevant ML/AI experience; moderate skill match (4 core skills matched); active open source contributor; long notice period (120 days) is a concern; tier-1 institution; strong product company background.
CAND_0077285,99,0.475,"Recommendation Systems Engineer at Nykaa; 5.4 yrs total, 4.2 yrs relevant; moderate skill match (5 core skills matched); active open source contributor; tier-2 institution; strong product company background."
CAND_0002025,100,0.4743,"Senior AI Engineer at Apple; 5.8 yrs total, 2.3 yrs relevant; strong JD skill alignment (8 core skills matched); active open source contributor; available quickly; highly responsive to recruiters; tier-1 institution."
